leaderUserId,leaderMark,profilePhoto,nickName,yesterdayMaxFollowersNum,leaderParentUserId,referralCode,leaderLevel,followerYieldE8,countryCode,lastLeaderLevel,leaderLevelChangeTimeE3,userTag,metricValues,opStatus,currentFollowerCount,maxFollowerCount,linkCreateType,thirdPartyApplicationInfo,wsotRanking
59030543,HcfXV6/NNQDVncRKxtOJSw==,https://s1.bycsi.com/fop/copytrade/b1d27167-afd0-4ec7-8305-f1ad3b115c9e.png,FIND,0,59025681,4KB5Q7,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1679791675195,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
59755815,Ycyd5d5MzukDeO6WAL+r8Q==,https://s1.bycsi.com/fop/copytrade/e1d883e5-54bd-4229-927e-18a3d731c995.jpeg,Minhnhi,0,59752909,R7KV84,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,VN,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1680278487418,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
61728463,8X8eNc3bWW4dihhwHVDolg==,https://s1.bycsi.com/fop/copytrade/a12b7432-8df2-4b88-acb4-2613b74e337a.png,New Leaf,0,61525659,PV9AE1,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,PH,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1681467784919,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
62764707,ifcun4yr8WVMCSH1mfpPwg==,https://s1.bycsi.com/fop/copytrade/f8d4313f-f070-4442-b435-3d6cf299475c.jpg,filiaes,3,58806398,VJ0JYG,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1683570684892,"[{'title': 'High Leverage', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '112613', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '11'}]","['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '3']",4,3,100,0,[],0
64443829,xfB0sprCH69m9o6NQKquFA==,https://s1.bycsi.com/fop/copytrade/4161ffc3-d3a7-4dab-a12c-37cfae6d7cde.png,Atomic Dog,4,19872956,X689ZN#0,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_NOVICE_TRADER,1682824208999,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '4']",0,4,100,0,[],0
68017892,3MJk651hDASfrKbte7lfaA==,https://s1.bycsi.com/fop/copytrade/f4fa5877-390b-4bdd-af6e-666ba456a8b2.jpg,Bootcamp Trader 16,0,67659453,5MQNK8,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,0,"[{'title': 'Low Frequency', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '148899', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '10'}, {'title': 'Trend Trader', 'hovelDesc': '', 'hovelTargetUserTag': [], 'id': '148898', 'tagType': 'USER_TAG_TYPE_NEUTRAL', 'tagId': '14'}]","['0.00%', '0.00', '0.00', '0.00%', '2.5/5.0', '0']",0,0,100,0,[],0
36601869,yQctEQ1yOQPH9zIJEunTog==,https://s1.bycsi.com/fop/copytrade/55c74069-6b4f-4118-8688-09d1cf722914.jpg,refscrypto,0,29713360,B6X33J,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,PT,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433304560,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
32833661,deQFgCg7T43hNEzE8HC6oQ==,https://s1.bycsi.com/fop/copytrade/d911e083-5e0e-47ec-97a9-645b714794bc.png,Mr.Ben,0,28474684,7XXWNJ,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,HK,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433306191,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
30735801,Wj0dU0oO6wNd0NYdHIi7pw==,https://s1.bycsi.com/bybit/deadpool/2a5bed8201c411ed8fbbba6ce010d65b.svg,Precha Paruay,0,27083189,J8VYOR,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,TH,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433307004,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
28914856,FxWTFy05GerISnK0UzvMHw==,https://s1.bycsi.com/bybit/deadpool/2a5bed8201c411ed8fbbba6ce010d65b.svg,CTR_TRADER,0,22676377,ZZ4WOW,COPY_TRADE_LEADER_LEVEL_CADET_TRADER,0,BR,COPY_TRADE_LEADER_LEVEL_UNKNOWN_UNSPECIFIED,1668433307822,[],"['0.00%', '0.00', '0.00', '0.00%', '0.0/5.0', '0']",0,0,100,0,[],0
